country_abbr,control_reg_id,state_id,sector_abbr,tariff_class,pv_capacity_mw,pv_systems_count
MEX,3,18,com,9,0,0
MEX,3,18,res,1A,0.05402,20
MEX,3,18,res,1B,0.1836,47
MEX,3,18,res,1C,0,0
MEX,3,18,res,1D,0,0
MEX,3,18,res,1E,0,0
MEX,3,18,res,1F,0,0
MEX,3,18,com,5A,0,0
MEX,3,18,com,9CU,0,0
MEX,3,18,com,9M,0,0
MEX,3,18,com,9N,0,0
MEX,3,18,res,DAC,0,0
MEX,3,18,ind,HM,1.3003,6
MEX,3,18,ind,HMC,0,0
MEX,3,18,ind,HMCF,0,0
MEX,3,18,ind,HMF,0,0
MEX,3,18,ind,HS,0,0
MEX,3,18,ind,HSF,0,0
MEX,3,18,ind,HSL,0,0
MEX,3,18,ind,HSLF,0,0
MEX,3,18,ind,HT,0,0
MEX,3,18,ind,HTF,0,0
MEX,3,18,ind,HTL,0,0
MEX,3,18,ind,HTLF,0,0
MEX,3,18,ind,OM,0.014,1
MEX,3,18,ind,OMF,0,0
MEX,6,19,res,1,9.59196,1040
MEX,6,19,com,2,3.49378,209
MEX,6,19,com,3,0,0
MEX,6,19,com,5,0,0
MEX,6,19,com,6,0,0
MEX,6,19,com,7,0,0
MEX,6,19,com,9,0,0
MEX,6,19,res,1A,0,0
MEX,6,19,res,1B,0.20531,50
MEX,6,19,res,1C,6.62996,879
MEX,6,19,res,1D,0,0
MEX,6,19,res,1E,0,0
MEX,6,19,res,1F,0,0
MEX,6,19,com,5A,0,0
MEX,6,19,com,9CU,0,0
MEX,6,19,com,9M,0,0
MEX,6,19,com,9N,0,0
MEX,6,19,res,DAC,0.0241,4
MEX,6,19,ind,HM,0.92058,9
MEX,6,19,ind,HMC,0,0
MEX,6,19,ind,HMCF,0,0
MEX,6,19,ind,HMF,0,0
MEX,6,19,ind,HS,0,0
MEX,6,19,ind,HSF,0,0
MEX,6,19,ind,HSL,0,0
MEX,6,19,ind,HSLF,0,0
MEX,6,19,ind,HT,0,0
MEX,6,19,ind,HTF,0,0
MEX,6,19,ind,HTL,0,0
MEX,6,19,ind,HTLF,0,0
MEX,6,19,ind,OM,2.0467,41
MEX,6,19,ind,OMF,0,0
MEX,2,20,res,1,0.23379,43
MEX,2,20,com,2,0.24025,36
MEX,2,20,com,3,0,0
MEX,2,20,com,5,0,0
MEX,2,20,com,6,0.001,1
MEX,2,20,com,7,0,0
MEX,2,20,com,9,0,0
MEX,2,20,res,1A,0,0
MEX,2,20,res,1B,0.02678,9
MEX,2,20,res,1C,0,0
MEX,2,20,res,1D,0,0
MEX,2,20,res,1E,0,0
MEX,2,20,res,1F,0,0
MEX,2,20,com,5A,0,0
MEX,2,20,com,9CU,0,0
MEX,2,20,com,9M,0,0
MEX,2,20,com,9N,0,0
MEX,2,20,res,DAC,0.007226,3
MEX,2,20,ind,HM,0,0
MEX,2,20,ind,HMC,0,0
MEX,2,20,ind,HMCF,0,0
MEX,2,20,ind,HMF,0,0
MEX,2,20,ind,HS,0,0
MEX,2,20,ind,HSF,0,0
MEX,2,20,ind,HSL,0,0
MEX,2,20,ind,HSLF,0,0
MEX,2,20,ind,HT,0,0
MEX,2,20,ind,HTF,0,0
MEX,2,20,ind,HTL,0,0
MEX,2,20,ind,HTLF,0,0
MEX,2,20,ind,OM,0.0703,4
MEX,2,20,ind,OMF,0,0
MEX,2,21,res,1,0.288013,90
MEX,2,21,com,2,0.379028,58
MEX,2,21,com,3,0.107,2
MEX,2,21,com,5,0,0
