source,year,sector_abbr,control_reg_id,escalation_factor
Planning,2018,com,30,1.03
Planning,2018,com,31,1.03
Planning,2018,com,32,1.03
Planning,2018,com,33,1.03
Planning,2018,com,34,1.03
Planning,2018,com,35,1.03
Planning,2018,com,36,1.03
Planning,2018,com,37,1.03
Planning,2018,com,38,1.03
Planning,2018,com,39,1.03
Planning,2018,com,40,1.03
Planning,2018,com,41,1.03
Planning,2018,com,42,1.03
Planning,2018,ind,1,1.03
Planning,2018,ind,2,1.03
Planning,2018,ind,3,1.03
Planning,2018,ind,4,1.03
Planning,2018,ind,5,1.03
Planning,2018,ind,6,1.03
Planning,2018,ind,7,1.03
Planning,2018,ind,8,1.03
Planning,2018,ind,9,1.03
Planning,2018,ind,10,1.03
Planning,2018,ind,11,1.03
Planning,2018,ind,12,1.03
Planning,2018,ind,13,1.03
Planning,2018,ind,14,1.03
Planning,2018,ind,15,1.03
Planning,2018,ind,16,1.03
Planning,2018,ind,17,1.03
Planning,2018,ind,18,1.03
Planning,2018,ind,19,1.03
Planning,2018,ind,20,1.03
Planning,2018,ind,21,1.03
Planning,2018,ind,22,1.03
Planning,2018,ind,23,1.03
Planning,2018,ind,24,1.03
Planning,2018,ind,25,1.03
Planning,2018,ind,26,1.03
Planning,2018,ind,27,1.03
Planning,2018,ind,28,1.03
Planning,2018,ind,29,1.03
Planning,2018,ind,30,1.03
Planning,2018,ind,31,1.03
Planning,2018,ind,32,1.03
Planning,2018,ind,33,1.03
Planning,2018,ind,34,1.03
Planning,2018,ind,35,1.03
Planning,2018,ind,36,1.03
Planning,2018,ind,37,1.03
Planning,2018,ind,38,1.03
Planning,2018,ind,39,1.03
Planning,2018,ind,40,1.03
Planning,2018,ind,41,1.03
Planning,2018,ind,42,1.03
Planning,2019,res,1,1.04
Planning,2019,res,2,1.04
Planning,2019,res,3,1.04
Planning,2019,res,4,1.04
Planning,2019,res,5,1.04
Planning,2019,res,6,1.04
Planning,2019,res,7,1.04
Planning,2019,res,8,1.04
Planning,2019,res,9,1.04
Planning,2019,res,10,1.04
Planning,2019,res,11,1.04
Planning,2019,res,12,1.04
Planning,2019,res,13,1.04
Planning,2019,res,14,1.04
Planning,2019,res,15,1.04
Planning,2019,res,16,1.04
Planning,2019,res,17,1.04
Planning,2019,res,18,1.04
Planning,2019,res,19,1.04
Planning,2019,res,20,1.04
Planning,2019,res,21,1.04
Planning,2019,res,22,1.04
Planning,2019,res,23,1.04
Planning,2019,res,24,1.04
Planning,2019,res,25,1.04
Planning,2019,res,26,1.04
Planning,2019,res,27,1.04
Planning,2019,res,28,1.04
Planning,2019,res,29,1.04
Planning,2019,res,30,1.04
Planning,2019,res,31,1.04
Planning,2019,res,32,1.04
Planning,2019,res,33,1.04
Planning,2019,res,34,1.04
Planning,2019,res,35,1.04
Planning,2019,res,36,1.04
Planning,2019,res,37,1.04
Planning,2019,res,38,1.04
Planning,2019,res,39,1.04
Planning,2019,res,40,1.04
Planning,2019,res,41,1.04
Planning,2019,res,42,1.04
Planning,2019,com,1,1.04
Planning,2019,com,2,1.04
Planning,2019,com,3,1.04
Planning,2019,com,4,1.04
Planning,2019,com,5,1.04
Planning,2019,com,6,1.04
Planning,2019,com,7,1.04
Planning,2019,com,8,1.04
Planning,2019,com,9,1.04
Planning,2019,com,10,1.04
Planning,2019,com,11,1.04
Planning,2019,com,12,1.04
Planning,2019,com,13,1.04
Planning,2019,com,14,1.04
Planning,2019,com,15,1.04
Planning,2019,com,16,1.04
Planning,2019,com,17,1.04
Planning,2019,com,18,1.04
Planning,2019,com,19,1.04
Planning,2019,com,20,1.04
Planning,2019,com,21,1.04
Planning,2019,com,22,1.04
Planning,2019,com,23,1.04
Planning,2019,com,24,1.04
Planning,2019,com,25,1.04
Planning,2019,com,26,1.04
Planning,2019,com,27,1.04
Planning,2019,com,28,1.04
Planning,2019,com,29,1.04
Planning,2019,com,30,1.04
Planning,2019,com,31,1.04
Planning,2019,com,32,1.04
Planning,2019,com,33,1.04
Planning,2019,com,34,1.04
Planning,2019,com,35,1.04
Planning,2019,com,36,1.04
Planning,2019,com,37,1.04
Planning,2019,com,38,1.04
Planning,2019,com,39,1.04
Planning,2019,com,40,1.04
Planning,2019,com,41,1.04
Planning,2019,com,42,1.04
Planning,2019,ind,1,1.04
Planning,2019,ind,2,1.04
Planning,2019,ind,3,1.04
Planning,2019,ind,4,1.04
Planning,2019,ind,5,1.04
Planning,2019,ind,6,1.04
Planning,2019,ind,7,1.04
Planning,2019,ind,8,1.04
Planning,2019,ind,9,1.04
Planning,2019,ind,10,1.04
Planning,2019,ind,11,1.04
Planning,2019,ind,12,1.04
Planning,2019,ind,13,1.04
Planning,2019,ind,14,1.04
Planning,2019,ind,15,1.04
Planning,2019,ind,16,1.04
Planning,2019,ind,17,1.04
Planning,2019,ind,18,1.04
Planning,2019,ind,19,1.04
Planning,2019,ind,20,1.04
Planning,2019,ind,21,1.04
Planning,2019,ind,22,1.04
Planning,2019,ind,23,1.04
Planning,2019,ind,24,1.04
Planning,2019,ind,25,1.04
Planning,2019,ind,26,1.04
Planning,2019,ind,27,1.04
Planning,2019,ind,28,1.04
Planning,2019,ind,29,1.04
Planning,2019,ind,30,1.04
Planning,2019,ind,31,1.04
Planning,2019,ind,32,1.04
Planning,2019,ind,33,1.04
Planning,2019,ind,34,1.04
Planning,2019,ind,35,1.04
Planning,2019,ind,36,1.04
Planning,2019,ind,37,1.04
Planning,2019,ind,38,1.04
Planning,2019,ind,39,1.04
Planning,2019,ind,40,1.04
Planning,2019,ind,41,1.04
Planning,2019,ind,42,1.04
Planning,2020,res,1,1.05
Planning,2020,res,2,1.05
Planning,2020,res,3,1.05
Planning,2020,res,4,1.05
Planning,2020,res,5,1.05
Planning,2020,res,6,1.05
Planning,2020,res,7,1.05
Planning,2020,res,8,1.05
Planning,2020,res,9,1.05
Planning,2020,res,10,1.05
Planning,2020,res,11,1.05
Planning,2020,res,12,1.05
Planning,2020,res,13,1.05
Planning,2020,res,14,1.05
Planning,2020,res,15,1.05
Planning,2020,res,16,1.05
Planning,2020,res,17,1.05
Planning,2020,res,18,1.05
Planning,2020,res,19,1.05
Planning,2020,res,20,1.05
Planning,2020,res,21,1.05
Planning,2020,res,22,1.05
Planning,2020,res,23,1.05
Planning,2020,res,24,1.05
Planning,2020,res,25,1.05
Planning,2020,res,26,1.05
Planning,2020,res,27,1.05
Planning,2020,res,28,1.05
Planning,2020,res,29,1.05
Planning,2020,res,30,1.05
Planning,2020,res,31,1.05
Planning,2020,res,32,1.05
Planning,2020,res,33,1.05
Planning,2020,res,34,1.05
Planning,2020,res,35,1.05
Planning,2020,res,36,1.05
Planning,2020,res,37,1.05
Planning,2020,res,38,1.05
Planning,2020,res,39,1.05
Planning,2020,res,40,1.05
Planning,2020,res,41,1.05
Planning,2020,res,42,1.05
Planning,2020,com,1,1.05
Planning,2020,com,2,1.05
Planning,2020,com,3,1.05
Planning,2020,com,4,1.05
Planning,2020,com,5,1.05
Planning,2020,com,6,1.05
Planning,2020,com,7,1.05
Planning,2020,com,8,1.05
Planning,2020,com,9,1.05
Planning,2020,com,10,1.05
Planning,2020,com,11,1.05
Planning,2020,com,12,1.05
Planning,2020,com,13,1.05
Planning,2020,com,14,1.05
Planning,2020,com,15,1.05
Planning,2020,com,16,1.05
Planning,2020,com,17,1.05
Planning,2020,com,18,1.05
Planning,2020,com,19,1.05
Planning,2020,com,20,1.05
Planning,2020,com,21,1.05
Planning,2020,com,22,1.05
Planning,2020,com,23,1.05
Planning,2020,com,24,1.05
Planning,2020,com,25,1.05
Planning,2020,com,26,1.05
Planning,2020,com,27,1.05
Planning,2020,com,28,1.05
Planning,2020,com,29,1.05
Planning,2020,com,30,1.05
Planning,2020,com,31,1.05
Planning,2020,com,32,1.05
Planning,2020,com,33,1.05
Planning,2020,com,34,1.05
Planning,2020,com,35,1.05
Planning,2020,com,36,1.05
Planning,2020,com,37,1.05
Planning,2020,com,38,1.05
Planning,2020,com,39,1.05
Planning,2020,com,40,1.05
Planning,2020,com,41,1.05
Planning,2020,com,42,1.05
Planning,2020,ind,1,1.05
Planning,2020,ind,2,1.05
Planning,2020,ind,3,1.05
Planning,2020,ind,4,1.05
Planning,2020,ind,5,1.05
Planning,2020,ind,6,1.05
Planning,2020,ind,7,1.05
Planning,2020,ind,8,1.05
Planning,2020,ind,9,1.05
Planning,2020,ind,10,1.05
Planning,2020,ind,11,1.05
