schema,table,proposed action,actual action,remaining to do
diffusion_wind_config,sceninp_end_year,consolidate with solar,replaced by diffusion_config.sceninp_year_range,
diffusion_wind_config,sceninp_height_exclusions,move to new config schema,,drop this table
diffusion_wind_config,sceninp_ind_demand_charge_rates,delete?,,drop this table
diffusion_wind_config,sceninp_ind_max_market_curve,?,replaced by diffusion_config.sceninp_max_market_curve,
diffusion_wind_config,sceninp_ind_rate_escalation,consolidate with solar,replaced by diffusion_config.sceninp_rate_escalation,
diffusion_wind_config,sceninp_ind_rate_structure,consolidate with solar,replaced by diffusion_config.sceninp_rate_structure,
diffusion_wind_config,sceninp_load_growth_scenario,consolidate with solar,replaced by diffusion_config.sceninp_load_growth_scenario,
diffusion_wind_config,sceninp_markets,consolidate with solar,replaced by diffusion_config.sceninp_markets,
diffusion_wind_config,sceninp_net_metering_availability,consolidate with solar,,drop this table
diffusion_wind_config,sceninp_region,consolidate with solar,replaced by diffusion_config.sceninp_region,
diffusion_wind_config,sceninp_res_max_market_curve,?,replaced by diffusion_config.sceninp_max_market_curve,
diffusion_wind_config,sceninp_res_rate_escalation,consolidate with solar,replaced by diffusion_config.sceninp_rate_escalation,
diffusion_wind_config,sceninp_res_rate_structure,consolidate with solar,replaced by diffusion_config.sceninp_rate_structure,
diffusion_wind_config,sceninp_utility_type_allother,rename and move to new config schema,,drop this table
diffusion_wind_config,sceninp_utility_type_coop,rename and move to new config schema,,drop this table
diffusion_wind_config,sceninp_utility_type_iou,rename and move to new config schema,,drop this table
diffusion_wind_config,sceninp_utility_type_muni,rename and move to new config schema,,drop this table
diffusion_wind_config,sceninp_incentive_start_year,rename and move to new config schema,replaced by diffusion_config.sceninp_year_range,
diffusion_wind_config,sceninp_overwrite_exist_inc,rename and move to new config schema,,drop this table
diffusion_solar_config,sceninp_carbon_price,consolidate with wind,replaced by diffusion_config.sceninp_carbon_price,
diffusion_solar_config,sceninp_com_max_market_curve,consolidate with wind,replaced by diffusion_config.sceninp_max_market_curve,
diffusion_solar_config,sceninp_com_rate_escalation,consolidate with wind,replaced by diffusion_config.sceninp_rate_escalation,
diffusion_solar_config,sceninp_com_rate_structure,consolidate with wind,replaced by diffusion_config.sceninp_rate_structure,
diffusion_solar_config,sceninp_cost_assumptions,rename with solar suffix,replaced by diffusion_config.sceninp_cost_assumptions_solar,
diffusion_solar_config,sceninp_cust_exp_elec_rates,DELETE?,,drop this table
diffusion_solar_config,sceninp_end_year,consolidate with wind,replaced by diffusion_config.sceninp_year_range,
diffusion_solar_config,sceninp_ind_demand_charge_rates,DELETE?,,drop this table
diffusion_solar_config,sceninp_ind_max_market_curve,?,replaced by diffusion_config.sceninp_max_market_curve,
diffusion_solar_config,sceninp_ind_rate_escalation,consolidate with wind,replaced by diffusion_config.sceninp_rate_escalation,
diffusion_solar_config,sceninp_ind_rate_structure,consolidate with wind,replaced by diffusion_config.sceninp_rate_structure,
diffusion_solar_config,sceninp_load_growth_scenario,consolidate with wind,replaced by diffusion_config.sceninp_load_growth_scenario,
diffusion_solar_config,sceninp_markets,consolidate with wind,replaced by diffusion_config.sceninp_markets,
diffusion_solar_config,sceninp_net_metering_availability,delete?,,drop this table
diffusion_solar_config,sceninp_region,consolidate with wind,replaced by diffusion_config.sceninp_region,
diffusion_solar_config,sceninp_res_max_market_curve,?,replaced by diffusion_config.sceninp_max_market_curve,
diffusion_solar_config,sceninp_res_rate_escalation,consolidate with wind,diffusion_config.sceninp_rate_escalation,
diffusion_solar_config,sceninp_res_rate_structure,consolidate with wind,replaced by diffusion_config.sceninp_rate_structure,
diffusion_solar_config,sceninp_rooftop_availability,delete,,"drop this table, drop field in solar scenario_options table, remove from solar input sheet, make sure ingestion script still works"
diffusion_solar_config,sceninp_system_sizing,delete,,"drop this table, drop field in solar scenario_options table, remove from solar input sheet, make sure ingestion script still works"
