"building_type","gtc_btu_per_hftF","baseline_electricity_consumption_kwh","baseline_natural_gas_consumption_mbtu","baseline_site_energy_mbtu","baseline_source_energy_mbtu","baseline_carbon_emissions_mt","baseline_energy_cost","baseline_peak_electricity_demand_kw","gshp_electricity_consumption_kwh","gshp_natural_gas_consumption_mbtu","gshp_site_energy_mbtu","gshp_source_energy_mbtu","gshp_carbon_emissions_mt","gshp_energy_cost","gshp_peak_electricity_demand_kw","savings_abs_electricity_consumption_kwh","savings_abs_natural_gas_consumption_mbtu","savings_abs_site_energy_mbtu","savings_abs_source_energy_mbtu","savings_abs_carbon_emissions_mt","savings_abs_energy_cost","savings_abs_peak_electricity_demand_kw","savings_pct_electricity_consumption_kwh","savings_pct_natural_gas_consumption_mbtu","savings_pct_site_energy_mbtu","savings_pct_source_energy_mbtu","savings_pct_carbon_emissions_mt","savings_pct_energy_cost","savings_pct_peak_electricity_demand_kw","total_ghx_length","cooling_capacity_ton","length_per_ton_of_capacity_ft_ton","max_lft_f","min_lft_f","city","climate_zone"
"Small Hotel",1.243,243750,132.2,964.11875,3008.65865625,201.422572552401,26483.37525,120.764,184500,112.1,741.7985,2290.4651355,153.284592406392,20167.5965,105.829,59250,20.1,222.32025,718.19352075,48.1379801460096,6315.77875,14.935,,,,,,,,23760,80,297,80.2,62.2,"Atlanta","3A"
"Medium Office",1.068,187640,21.89,662.30532,2228.85382676,149.59231967031,19615.5078,219.007,157150,0,536.35295,1846.66320685,124.03075124517,16261.09625,167.079,30490.0000000001,21.89,125.95237,382.190619910001,25.5615684251405,3354.41155000001,51.928,,,,,,,,48000,136,352.941176470588,79.9,61.6,"Atlanta","3A"
"School",1.068,1177600,1298.1,5317.2488,15255.4545184,1018.21393727583,134135.142,1069.992,1101900,0,3760.7847,12948.3817221,869.67537255522,114019.1025,998.494,75700.0000000005,1298.1,1556.4641,2307.0727963,148.538564720608,20116.0395,71.4979999999999,,,,,,,,160000,698,229.226361031519,94.5,59.1,"Atlanta","3A"
"Small Hotel",1.068,243750,132.2,964.11875,3008.65865625,201.422572552401,26483.37525,120.764,184760,112.1,742.68588,2293.52038484,153.48979759458,20194.5,105.804,58990,20.1,221.43287,715.13827141,47.9327749578216,6288.87525,14.96,,,,,,,,27000,80,337.5,80.1,62.9,"Atlanta","3A"
"Medium Office",1.448,187640,21.89,662.30532,2228.85382676,149.59231967031,19615.5078,219.007,156430,0,533.89559,1838.20251637,123.462490724034,16186.59425,167.508,31210.0000000001,21.89,128.40973,390.651310390001,26.1298289462765,3428.91355,51.499,,,,,,,,36250,136,266.544117647059,80.3,59,"Atlanta","3A"
"School",1.448,1177600,1298.1,5317.2488,15255.4545184,1018.21393727583,134135.142,1069.992,1064100,0,3631.7733,12504.1954719,839.84169519558,110107.7475,967.344,113500,1298.1,1685.4755,2751.2590465,178.372242080248,24027.3945,102.648,,,,,,,,160000,698,229.226361031519,88.6,58.6,"Atlanta","3A"
"Small Hotel",1.448,243750,132.2,964.11875,3008.65865625,201.422572552401,26483.37525,120.764,184620,112.1,742.20806,2291.87525058,153.379302493248,20180.0135,106.09,59130,20.1,221.91069,716.783405669999,48.0432700591536,6303.36175,14.674,,,,,,,,18600,80,232.5,80.8,61.4,"Atlanta","3A"
"Medium Office",1.117,136340,0.1,465.42842,1602.23495006,107.613283855832,21078.164,166.034,140370,0,479.08281,1649.48211483,110.787124099806,21701.202,149.994,-4030.00000000003,0.1,-13.6543900000001,-47.2471647700004,-3.17384024397442,-623.038000000008,16.04,,,,,,,,36480,112,325.714285714286,81,66.3,"San Diego","3B (Coast)"
"School",1.117,943400,476.3,3696.1242,11605.9743206,777.158876544235,150175.619,784.573,866400,0,2957.0232,10181.0308776,683.80682710032,133945.44,738.453,77000,476.3,739.101,1424.943443,93.3520494439148,16230.179,46.12,,,,,,,,160000,488,327.868852459016,84.5,67,"San Diego","3B (Coast)"
"Small Hotel",1.117,203590,87.8,782.65267,2488.25534281,166.689226699411,32278.602,101.719,160930,88.5,637.75409,1987.72383187,133.06767203268,25687.765,97.984,42660,-0.700000000000003,144.89858,500.53151094,33.6215546667308,6590.837,3.735,,,,,,,,27000,65,415.384615384615,80.2,66.2,"San Diego","3B (Coast)"
