agent_id,control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,country_abbr,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias
948,Oriental,2,30,VeracruzdeIgnaciodelaLlave,ind,GDMTH,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,81
115,Peninsular,7,4,Campeche,ind,GDMTH,MEX,702,294217476.0,419113.2137,1893,31400,1,1,0.6,small,93
454,Central,1,15,Mexico,com,RAMT,MEX,100,1317715.1,13177.151000000002,8567,987,1,1,0.6,small,55
603,Noreste,6,19,NuevoLeon,ind,DIT,MEX,9,201935573.0,22437285.89,8710,1680998,1,1,0.6,small,144
56,BajaCalifornia,8,2,BajaCalifornia,ind,DIST,MEX,0,0.0,0.0,2621,0,1,1,0.6,small,16
987,Peninsular,7,31,Yucatan,ind,DIT,MEX,2,8006971.6,4003485.8,1893,299941,1,1,0.6,small,84
972,Peninsular,7,31,Yucatan,res,DB1,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,87
1018,Occidental,3,32,Zacatecas,ind,DIST,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,184
119,Peninsular,7,4,Campeche,ind,DIST,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,88
805,Noroeste,4,26,Sonora,com,GDBT,MEX,1044,165793142.0,158805.6916,4350,11898,1,1,0.6,small,157
