sector_abbr,state_id,year,nem_system_size_limit_kw
com,19,2019,20000.0
com,19,2020,20000.0
com,19,2021,20000.0
com,19,2022,20000.0
com,19,2023,20000.0
com,19,2024,20000.0
com,19,2025,20000.0
com,19,2026,20000.0
com,19,2027,20000.0
com,19,2028,20000.0
com,19,2029,20000.0
com,19,2030,20000.0
com,19,2031,20000.0
com,19,2032,20000.0
com,19,2033,20000.0
com,19,2034,20000.0
com,19,2035,20000.0
com,19,2036,20000.0
com,19,2037,20000.0
com,19,2038,20000.0
com,19,2039,20000.0
com,19,2040,20000.0
com,19,2041,20000.0
com,19,2042,20000.0
com,19,2043,20000.0
com,19,2044,20000.0
com,19,2045,20000.0
com,19,2046,20000.0
com,19,2047,20000.0
com,19,2048,20000.0
com,19,2049,20000.0
com,19,2050,20000.0
com,20,2015,20000.0
com,20,2016,20000.0
com,20,2017,20000.0
com,20,2018,20000.0
com,20,2019,20000.0
com,20,2020,20000.0
com,20,2021,20000.0
com,20,2022,20000.0
com,20,2023,20000.0
com,20,2024,20000.0
com,20,2025,20000.0
com,20,2026,20000.0
com,20,2027,20000.0
com,20,2028,20000.0
com,20,2029,20000.0
com,20,2030,20000.0
com,20,2031,20000.0
com,20,2032,20000.0
com,20,2033,20000.0
com,20,2034,20000.0
com,20,2035,20000.0
com,20,2036,20000.0
com,20,2037,20000.0
com,20,2038,20000.0
com,20,2039,20000.0
com,20,2040,20000.0
com,20,2041,20000.0
com,20,2042,20000.0
com,20,2043,20000.0
com,20,2044,20000.0
com,20,2045,20000.0
com,20,2046,20000.0
com,20,2047,20000.0
com,20,2048,20000.0
com,20,2049,20000.0
com,20,2050,20000.0
com,22,2015,20000.0
com,22,2016,20000.0
com,22,2017,20000.0
com,22,2018,20000.0
com,22,2019,20000.0
com,22,2020,20000.0
com,22,2021,20000.0
com,22,2022,20000.0
com,22,2023,20000.0
com,22,2024,20000.0
com,22,2025,20000.0
com,22,2026,20000.0
com,22,2027,20000.0
com,22,2028,20000.0
com,22,2029,20000.0
com,22,2030,20000.0
com,22,2031,20000.0
com,22,2032,20000.0
com,22,2033,20000.0
com,22,2034,20000.0
com,22,2035,20000.0
com,22,2036,20000.0
com,22,2037,20000.0
com,22,2038,20000.0
com,22,2039,20000.0
com,22,2040,20000.0
com,22,2041,20000.0
com,22,2042,20000.0
com,22,2043,20000.0
com,22,2044,20000.0
com,22,2045,20000.0
com,22,2046,20000.0
com,22,2047,20000.0
com,22,2048,20000.0
com,22,2049,20000.0
com,22,2050,20000.0
com,23,2015,20000.0
com,23,2016,20000.0
com,23,2017,20000.0
com,23,2018,20000.0
com,23,2019,20000.0
com,23,2020,20000.0
com,23,2021,20000.0
com,23,2022,20000.0
com,23,2023,20000.0
com,23,2024,20000.0
com,23,2025,20000.0
com,23,2026,20000.0
com,23,2027,20000.0
com,23,2028,20000.0
com,23,2029,20000.0
com,23,2030,20000.0
com,23,2031,20000.0
com,23,2032,20000.0
com,23,2033,20000.0
com,23,2034,20000.0
com,23,2035,20000.0
com,23,2036,20000.0
com,23,2037,20000.0
com,23,2038,20000.0
com,23,2039,20000.0
com,23,2040,20000.0
com,23,2041,20000.0
com,23,2042,20000.0
com,23,2043,20000.0
com,23,2044,20000.0
com,23,2045,20000.0
com,23,2046,20000.0
com,23,2047,20000.0
com,23,2048,20000.0
com,23,2049,20000.0
com,23,2050,20000.0
com,24,2015,20000.0
com,24,2016,20000.0
com,24,2017,20000.0
com,24,2018,20000.0
com,24,2019,20000.0
com,24,2020,20000.0
com,24,2021,20000.0
com,24,2022,20000.0
com,24,2023,20000.0
com,24,2024,20000.0
com,24,2025,20000.0
com,24,2026,20000.0
com,24,2027,20000.0
com,24,2028,20000.0
com,24,2029,20000.0
com,24,2030,20000.0
com,24,2031,20000.0
com,24,2032,20000.0
com,24,2033,20000.0
com,24,2034,20000.0
com,24,2035,20000.0
com,24,2036,20000.0
com,24,2037,20000.0
com,24,2038,20000.0
com,24,2039,20000.0
com,24,2040,20000.0
com,24,2041,20000.0
com,24,2042,20000.0
com,24,2043,20000.0
com,24,2044,20000.0
com,24,2045,20000.0
com,24,2046,20000.0
com,24,2047,20000.0
com,24,2048,20000.0
com,24,2049,20000.0
com,24,2050,20000.0
com,27,2015,20000.0
com,27,2016,20000.0
com,27,2017,20000.0
com,27,2018,20000.0
com,27,2019,20000.0
com,27,2020,20000.0
com,27,2021,20000.0
com,27,2022,20000.0
com,27,2023,20000.0
