Year 1 hourly electric load (kWh),Year 1 hourly sales/purchases without sytem ($),Hourly energy charge TOU period,Hourly demand charge TOU period,Hourly Energy (kWh)
299.042,-21.6865,1,1,0
274.596,-19.9137,1,1,0
250.151,-18.141,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
250.151,-18.1409,1,1,0
274.596,-19.9137,1,1,0
323.484,-23.4591,1,1,0
323.596,-23.4671,1,1,8.85E-05
297.964,-27.2696,2,1,0.0144918
260,-23.7952,2,1,0.0353133
211.111,-19.3209,2,1,0.20176
334.993,-30.6585,2,1,0.183589
442.852,-40.5298,2,1,0.121082
471.931,-43.1911,2,1,0.184457
547.674,-50.1231,2,1,0.15344
510.347,-46.707,2,1,0.00652416
598.964,-54.8171,2,1,0.00106401
313.754,-28.7147,2,1,0
347.928,-31.8424,2,1,0
323.484,-29.6052,2,1,0
323.484,-29.6052,2,1,0
299.041,-21.6864,1,1,0
274.595,-19.9136,1,1,0
250.151,-18.1409,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.78,-31.1677,1,1,0
528.24,-38.3079,1,1,0.000109905
1050.7,-96.1604,2,1,0.175162
1013.98,-92.7994,2,1,0.287497
965.072,-88.3234,2,1,0.478004
965.067,-88.323,2,1,0.616687
1045.45,-95.6798,2,1,0.506508
1170.35,-107.11,2,1,0.518205
1205.39,-110.317,2,1,0.421766
1203.95,-110.186,2,1,0.264351
1224.86,-112.099,2,1,0.0105354
1072.69,-98.1724,2,1,0
809.279,-74.0652,2,1,0
728.592,-66.6807,2,1,0
579.108,-53,2,1,0
554.689,-40.2261,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.941,-31.1793,1,1,0
528.336,-38.315,1,1,2.52E-05
1050.71,-96.1608,2,1,0.0279722
1013.97,-92.7984,2,1,0.0183165
965.122,-88.3279,2,1,0.150573
1039.52,-95.1371,2,1,0.216921
1074.79,-98.3645,2,1,0.121777
1203.05,-110.103,2,1,0.182216
1277.24,-116.893,2,1,0.159033
1317.39,-120.568,2,1,0.00899632
1375.27,-125.864,2,1,0.00118723
1252.59,-114.637,2,1,0
968.916,-88.6752,2,1,0
856.446,-78.382,2,1,0
613.435,-56.1416,2,1,0
561.403,-40.7129,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.842,-31.1722,1,1,0
528.246,-38.3084,1,1,0.0367774
1050.65,-96.1557,2,1,0.257814
1093.44,-100.072,2,1,0.420209
1206.07,-110.379,2,1,0.452938
1310.31,-119.92,2,1,0.44489
1290.99,-118.152,2,1,0.637601
1367.7,-125.172,2,1,0.582303
1391.12,-127.315,2,1,0.457201
1401.27,-128.244,2,1,0.229891
1449.59,-132.667,2,1,0.111186
1339.95,-122.632,2,1,0
1150.86,-105.327,2,1,0
1099.02,-100.582,2,1,0
777.35,-71.143,2,1,0
596.615,-43.2665,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.868,-31.174,1,1,0
528.177,-38.3034,1,1,0.0124568
1050.62,-96.153,2,1,0.250528
1159.22,-106.092,2,1,0.440661
1262.34,-115.529,2,1,0.56625
1334.85,-122.166,2,1,0.62531
1313.1,-120.175,2,1,0.6243
1392.83,-127.472,2,1,0.573371
1425.15,-130.429,2,1,0.46173
1446,-132.338,2,1,0.275283
1499.37,-137.222,2,1,0.0448599
1381.55,-126.439,2,1,0
1193.54,-109.232,2,1,0
1145.93,-104.876,2,1,0
924.447,-84.6054,2,1,0
800.536,-58.0549,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
430.33,-31.2076,1,1,0
