parameter 
	 eLoad(T) 
			 / 
		1086	349.358
		1087	772.266
		1088	794.508
		1089	1426.58
		1090	1401.36
		1091	1393.44
		1092	1401.65
		1093	1365.24
		1094	1425.51
		1095	1431.39
		1096	1426.78
		1097	1408.14
		1098	1177.43
		1099	970.596
		1100	871.597
		1101	706.869
		1102	641.644
		1103	349.357
		1104	299.992
		1105	287.77
		1106	287.77
		1107	287.77
		1108	287.77
		1109	299.992
		1110	349.358
		1111	455.965
		1112	589.158
		1113	1050.6
		1114	1139.34
		1115	1320.69
		1116	1441.47
		1117	1397.88
		1118	1446.48
		1119	1442.87
		1120	1442.51
		1121	1494.03
		1122	1381.84
		1123	1224.58
		1124	1174.67
		1125	925.768
		1126	861.749
		1127	349.357
		1128	299.992
		1129	287.77
		1130	287.77
		1131	287.77
		1132	287.77
		1133	299.992
		1134	349.358
		1135	430.089
		1136	511.041
		1137	1070.73
		1138	1231
		1139	1342.45
		1140	1434.77
		1141	1415.35
		1142	1485.85
		1143	1487.16
		1144	1495.53
		1145	1552.91
		1146	1425.92
		1147	1258.13
		1148	1223.71
		1149	1067.26
		1150	1032.12
		1151	349.357
		1152	299.992
		1153	237.929
		1154	237.929
		1155	237.929
		1156	237.929
		1157	250.151
		1158	274.597
		1159	549.563
		1160	498.546
		1161	765.592
		1162	892.425
		1163	1021.87
		1164	1062.82
		1165	1092.01
		1166	1109.77
		1167	859.675
		1168	857.627
		1169	906.209
		1170	863.976
		1171	339.386
		1172	323.485
		1173	323.485
		1174	299.042
		1175	274.596
		1176	250.151
		1177	237.929
		1178	237.929
		1179	237.929
		1180	237.929
		1181	250.151
		1182	274.596
		1183	323.484
		1184	305.21
		1185	296.666
		1186	260
		1187	387.844
		1188	563.845
		1189	664.737
		1190	581.922
		1191	676.876
		1192	615.872
		1193	470.112
		1194	296.666
		1195	339.385
		1196	323.484
		1197	323.484
		1198	299.041
		1199	274.595
		1200	250.151
		1201	237.929
		1202	237.929
		1203	237.929
		1204	237.929
		1205	250.151
		1206	274.596
		1207	323.484
		1208	305.21
		1209	462.856
		1210	580.84
		1211	583.241
		1212	598.771
		1213	645.147
		1214	606.384
		1215	650.296
		1216	607.067
		1217	685.19
		1218	561.268
		1219	339.385
		1220	323.484
		1221	323.484
		1222	299.041
		1223	274.595
		1224	250.151
		1225	287.77
		1226	287.77
		1227	287.77
		1228	287.77
		1229	299.992
		1230	349.358
		1231	430.208
		1232	510.988
		1233	1050.58
		1234	1152.8
		1235	1263.31
		1236	1366.97
		1237	1345.03
		1238	1420.67
		1239	1431.96
		1240	1441.84
		1241	1498.99
		1242	1368.91
		1243	1183.57
		1244	1151.12
		1245	995.269
		1246	964.708
		1247	349.357
		1248	299.992
		1249	287.77
		1250	287.77
		1251	287.77
		1252	287.77
		1253	299.992
		1254	349.358
		1255	431.166
		1256	515.442
		1257	1106
		1258	1265.5
		1259	1364.76
		1260	1390.17
		1261	1366.21
		1262	1436.81
		1263	1450.46
		1264	1460.93
		1265	1513.66
		1266	1376.24
		1267	1187.88
		1268	1150.71
		1269	988.844
		1270	955.561
		1271	349.357
		1272	299.992
		1273	287.77
		1274	287.77
		1275	287.77
		1276	287.77
		1277	299.992
		1278	349.358
		1279	431.786
		1280	502.402
		1281	1122.12
		1282	1240.09
		1283	1353.55
		1284	1403.63
		1285	1389.04
		1286	1471.1
		1287	1491.19
		1288	1497.07
		1289	1553
		1290	1430.85
		1291	1250
		1292	1211.34
		1293	1042.37
		1294	1001.28
		1295	349.357
		1296	299.992
		1297	287.77
		1298	287.77
		1299	287.77
		1300	287.77
		1301	299.992
		1302	349.358
		1303	495.87
		1304	612.299
		1305	1305.53
		1306	1425.61
		1307	1419.61
		1308	1471.58
		1309	1455.02
		1310	1515.54
		1311	1513.79
		1312	1511.44
		1313	1559.07
		1314	1453
		1315	1303.38
		1316	1272.86
		1317	1109.25
		1318	1060.98
		1319	349.357
		1320	299.992
		1321	237.929
		1322	237.929
		1323	237.929
		1324	237.929
		1325	250.151
		1326	274.597
		1327	692.489
		1328	708.037
		1329	1071.29
		1330	1061.24
		1331	1044.57
		1332	1083.07
		1333	1110.56
		1334	1126.89
		1335	877.663
		1336	879.229
		1337	928.767
		1338	897.646
		1339	573.676
		1340	658.765
		1341	617.612
		1342	352.948
		1343	274.596
		1344	250.151
		1345	237.928
		1346	237.928
		1347	237.928
		1348	237.928
		1349	250.151
		1350	274.596
		1351	323.484
		1352	296.666
		1353	596.599
		1354	708.369
		1355	648.557
		1356	717.946
		1357	676.788
		1358	726.706
		1359	692.733
		1360	743.822
		1361	743.314
		1362	818.818
		1363	805.68
		1364	826.108
		1365	669.472
		1366	621.853
		1367	274.595
		1368	250.151
		1369	287.77
		1370	287.77
		1371	287.77
		1372	287.77
		1373	299.992
		1374	349.358
		1375	888.712
		1376	952.201
		1377	1514.02
		1378	1505.88
		1379	1496.68
		1380	1525.7
		1381	1481.17
		1382	1524.55
		1383	1517.93
		1384	1511.02
		1385	1558.08
		1386	1451.6
		1387	1311.15
		1388	1290.46
		1389	1132.95
		1390	1088.28
		1391	349.357
		1392	299.992
		1393	287.77
		1394	287.77
		1395	287.77
		1396	287.77
		1397	299.992
		1398	349.358
		1399	866.923
		1400	910.72
		1401	1480.85
		1402	1485.4
		1403	1478.84
		1404	1494.22
		1405	1453.05
		1406	1500.51
		1407	1498.64
		1408	1497.91
		1409	1549.57
		1410	1445.3
		1411	1300.18
		1412	1263.73
		1413	1092.84
		1414	1049.57
		1415	349.357
		1416	299.992
		1417	287.77
		1418	287.77
		1419	287.77
		1420	287.77
		1421	299.992
		1422	349.358
		1423	497.709
		1424	591.424
		1425	1176.41
		1426	1195.14
		1427	1282.03
		1428	1354.43
		1429	1312.43
		1430	1385.64
		1431	1405.64
		1432	1408.41
		1433	1454.17
		1434	1326.07
		1435	1149.87
		1436	1130.66
		1437	979.715
		1438	879.153
		1439	349.357
		1440	299.992
		1441	287.77
		1442	287.77
		1443	287.77
		1444	287.77
		1445	299.992
		1446	349.358
		1447	432.698
		1448	502.409
		1449	1131.97
		1450	1260.56
		1451	1339.38
		1452	1377.28
		1453	1340.2
		1454	1400.43
		1455	1410.98
		1456	1422.89
		1457	1476.59
		1458	1354.7
		1459	1168.79
		1460	1148.35
		1461	988.579
		1462	929.9
		1463	349.357
		1464	299.992
		1465	287.77
		1466	287.77
		1467	287.77
		1468	287.77
		1469	299.992
		1470	349.358
		1471	423.955
		1472	502.383
		1473	1200.92
		1474	1351.72
		1475	1369.07
		1476	1402.99
		1477	1381.01
		1478	1461.48
		1479	1482
		1480	1491.58
		1481	1547.07
		1482	1423.8
		1483	1233.73
		1484	1199.27
		1485	1026.14
		1486	987.642
		1487	349.357
		1488	299.992
		1489	237.929
		1490	237.929
		1491	237.929
		1492	237.929
		1493	250.151
		1494	274.597
		1495	449.456
		1496	512.837
		1497	870.686
		1498	978.142
		1499	977.02
		1500	1005.89
		1501	1029.66
		1502	1037.53
		1503	783.692
		1504	776.2
		1505	820.045
		1506	772.742
		1507	330.842
		1508	323.485
		1509	323.485
		1510	299.042
		1511	274.596
		1512	250.151
		1513	237.928
		1514	237.928
		1515	237.928
		1516	237.928
		1517	250.151
		1518	274.596
		1519	314.94
		1520	296.666
		1521	296.666
		1522	260
