scenario,year,sector_abbr,country_abbr,control_reg_id,load_multiplier
Low,2021,res,MEX,8,1.169261281
Low,2021,res,MEX,9,1.332966571
High,2021,res,MEX,1,1.252231035
High,2021,res,MEX,2,1.262355817
High,2021,res,MEX,3,1.251346215
High,2021,res,MEX,4,1.324198216
High,2021,res,MEX,5,1.257430998
High,2021,res,MEX,6,1.303616652
High,2021,res,MEX,7,1.283174239
High,2021,res,MEX,8,1.269979768
High,2021,res,MEX,9,1.422376888
Planning,2021,com,MEX,1,1.190673033
Planning,2021,com,MEX,2,1.19568939
Planning,2021,com,MEX,3,1.20958208
Planning,2021,com,MEX,4,1.288622021
Planning,2021,com,MEX,5,1.209912877
Planning,2021,com,MEX,6,1.245543933
Planning,2021,com,MEX,7,1.219090427
Planning,2021,com,MEX,8,1.207145375
Planning,2021,com,MEX,9,1.372443531
Low,2021,com,MEX,1,1.135153724
Low,2021,com,MEX,2,1.155979295
Low,2021,com,MEX,3,1.17765398
Low,2021,com,MEX,4,1.250599062
Low,2021,com,MEX,5,1.175254917
Low,2021,com,MEX,6,1.195809752
Low,2021,com,MEX,7,1.189082924
Low,2021,com,MEX,8,1.169261281
Low,2021,com,MEX,9,1.332966571
High,2021,com,MEX,1,1.252231035
High,2021,com,MEX,2,1.262355817
High,2021,com,MEX,3,1.251346215
High,2021,com,MEX,4,1.324198216
High,2021,com,MEX,5,1.257430998
High,2021,com,MEX,6,1.303616652
High,2021,com,MEX,7,1.283174239
High,2021,com,MEX,8,1.269979768
High,2021,com,MEX,9,1.422376888
Planning,2021,ind,MEX,1,1.190673033
Planning,2021,ind,MEX,2,1.19568939
Planning,2021,ind,MEX,3,1.20958208
Planning,2021,ind,MEX,4,1.288622021
Planning,2021,ind,MEX,5,1.209912877
Planning,2021,ind,MEX,6,1.245543933
Planning,2021,ind,MEX,7,1.219090427
Planning,2021,ind,MEX,8,1.207145375
Planning,2021,ind,MEX,9,1.372443531
Low,2021,ind,MEX,1,1.135153724
Low,2021,ind,MEX,2,1.155979295
Low,2021,ind,MEX,3,1.17765398
Low,2021,ind,MEX,4,1.250599062
Low,2021,ind,MEX,5,1.175254917
Low,2021,ind,MEX,6,1.195809752
Low,2021,ind,MEX,7,1.189082924
Low,2021,ind,MEX,8,1.169261281
Low,2021,ind,MEX,9,1.332966571
High,2021,ind,MEX,1,1.252231035
High,2021,ind,MEX,2,1.262355817
High,2021,ind,MEX,3,1.251346215
High,2021,ind,MEX,4,1.324198216
High,2021,ind,MEX,5,1.257430998
High,2021,ind,MEX,6,1.303616652
High,2021,ind,MEX,7,1.283174239
High,2021,ind,MEX,8,1.269979768
High,2021,ind,MEX,9,1.422376888
Planning,2022,res,MEX,1,1.220075609
Planning,2022,res,MEX,2,1.234497845
Planning,2022,res,MEX,3,1.250215402
Planning,2022,res,MEX,4,1.340194643
Planning,2022,res,MEX,5,1.244159049
Planning,2022,res,MEX,6,1.296864567
Planning,2022,res,MEX,7,1.268568614
Planning,2022,res,MEX,8,1.251565537
Planning,2022,res,MEX,9,1.43966643
Low,2022,res,MEX,1,1.155636789
Low,2022,res,MEX,2,1.186784095
Low,2022,res,MEX,3,1.212538617
Low,2022,res,MEX,4,1.293752558
Low,2022,res,MEX,5,1.202124321
Low,2022,res,MEX,6,1.235682301
Low,2022,res,MEX,7,1.231220904
Low,2022,res,MEX,8,1.204843095
Low,2022,res,MEX,9,1.390771816
