,micro_id,county_id,bin_id,year,state_abbr,census_division_abbr,utility_type,pca_reg,reeds_reg,incentive_array_id,elec_rate_cents_per_kwh,carbon_price_cents_per_kwh,fixed_om_dollars_per_kw_per_yr,variable_om_dollars_per_kwh,installed_costs_dollars_per_kw,inverter_cost_dollars_per_kw,ann_cons_kwh,customers_in_bin,initial_customers_in_bin,load_kwh_in_bin,initial_load_kwh_in_bin,load_kwh_per_customer_in_bin,nem_system_limit_kw,excess_generation_factor,naep,aep,system_size_kw,npanels,tilt,azimuth,derate,pct_shaded,solar_re_9809_gid,density_w_per_sqft,inverter_lifetime_yrs,available_rooftop_space_sqm
323,14607,326,4,2016,CA,PAC,IOU,p9,29,241,6.576277152769895,0.0,0.0,0.0,2461.8993101394517,189.2025734605018,456456.0,0.886789672466878,0.86940163967341,16674112.0578469,16347168.6841636,18802781.060206443,1000.0,0.619,1534.7971994660256,245693.0930304301,160.08179655,615.08,25,SE,0.825,0.35,59044,14.872099940511603,20,1000.0
324,14608,326,5,2016,CA,PAC,IOU,p9,29,241,6.576277152769895,0.0,0.0,0.0,2461.8993101394517,189.2025734605018,1102414.0,0.963497068149247,0.944604968773771,43754052.7796285,42896130.1761063,45411713.46133346,1000.0,0.613,1559.6060085209658,249664.53175421082,160.08179655,615.08,25,SE,0.825,0.35,59514,14.872099940511603,20,1000.0
325,14614,326,6,2016,CA,PAC,IOU,p9,29,241,6.576277152769895,0.0,0.0,0.0,2461.8993101394517,189.2025734605018,539077.0,0.131552957014213,0.128973487268836,2921289.42330896,2864009.2385382,22206185.93159671,1000.0,0.597,1579.1100688786546,252786.77677628928,160.08179655,615.08,25,SW,0.825,0.35,59515,14.872099940511603,20,1000.0
326,14615,326,7,2016,CA,PAC,IOU,p9,29,241,6.576277152769895,0.0,0.0,0.0,2461.8993101394517,189.2025734605018,98156.0,0.720582762453449,0.706453688679852,2913559.48816093,2856430.87074601,4043337.7537936266,1000.0,0.598,1581.1953771790334,253120.59667537455,160.08179655,615.08,25,SW,0.825,0.35,59043,14.872099940511603,20,1000.0
327,14615,326,8,2016,CA,PAC,IOU,p9,29,241,6.576277152769895,0.0,0.0,0.0,2461.8993101394517,189.2025734605018,9908.0,0.970067918568489,0.951046978988715,395923.526457289,388160.320056166,408140.0063632101,1000.0,0.598,1581.1953771790334,27194.98083392581,17.1990009751,66.0834757468,25,SW,0.825,0.35,59043,14.872099940511603,20,1000.0
328,14618,326,9,2016,CA,PAC,IOU,p9,29,241,6.576277152769895,0.0,0.0,0.0,2461.8993101394517,189.2025734605018,279488.0,0.22862027837985,0.224137527823382,2632092.11490111,2580482.46558933,11512942.480666216,1000.0,0.602,1497.3297126368907,239695.2304266087,160.08179655,615.08,25,SW,0.825,0.35,59042,14.872099940511603,20,1000.0
329,14618,326,10,2016,CA,PAC,IOU,p9,29,241,6.576277152769895,0.0,0.0,0.0,2461.8993101394517,189.2025734605018,26581.0,0.886789672466878,0.86940163967341,970990.791247411,951951.756124913,1094950.4954723949,1000.0,0.602,1497.3297126368907,72232.2417606144,48.240705538,185.354573736,25,SW,0.825,0.35,59042,14.872099940511603,20,1000.0
330,14631,327,1,2016,CA,PAC,IOU,p9,26,241,6.576277152769895,0.0,0.0,0.0,2473.807041224709,190.1177097360299,43957.0,13.2962846015378,13.0355731387626,201921860.275178,197962608.112919,15186337.110430375,1000.0,0.596,1396.082954694568,223487.46752033872,160.08179655,615.08,0,S,0.825,0.35,53798,14.872099940511603,20,1000.0
331,14633,327,2,2016,CA,PAC,IOU,p9,26,241,6.576277152769895,0.0,0.0,0.0,2473.807041224709,190.1177097360299,25275.0,2.13856919262127,2.09663646335418,18674090.6185317,18307931.9789526,8732048.83104233,1000.0,0.594,1405.6576563380956,225020.20296086484,160.08179655,615.08,0,S,0.825,0.35,54766,14.872099940511603,20,1000.0
332,14634,327,3,2016,CA,PAC,IOU,p9,26,241,6.576277152769895,0.0,0.0,0.0,2473.807041224709,190.1177097360299,1924.0,15.1513848306622,14.8542988535904,10071227.0762164,9873752.03550629,664706.7042898296,1000.0,0.59,1416.3875038067924,45171.80585672191,31.8922651713,122.539194864,0,S,0.825,0.35,54765,14.872099940511603,20,1000.0
